SrcDatabase-来源库	Title-题名	Author-作者	Organ-单位	Source-文献来源	Keyword-关键词	Summary-摘要	Year-年
硕士	黄芩滑石颗粒的药学研究	吴佳骏	长春中医药大学	长春中医药大学	黄芩滑石颗粒;;制备工艺;;基准关联度;;质量评价;;药理作用	目的:优化黄芩滑石汤的提取工艺;对其成型工艺进行研究,克服其不便于服用、保存等缺点,将汤剂转化为颗粒剂;建立黄芩滑石颗粒的质量标准,控制其质量;采用网络药理学、分子对接预测,并通过动物模型进行验证,进行初步的药效学研究。 方法:查阅文献,对黄芩滑石汤处方进行考证;根据古籍中提取方法,进行基准样品制备;以加水量、煎煮时间、煎煮次数作为考察因素,设计正交试验;以黄芩苷、黄芩素、汉黄芩素、出膏率、指纹图谱相似度作为考察指标,AHP-CRITIC法计算综合评分,评价样品质量;通过基准关联度计算正交所得样品与基准样品的相似度,优选最佳的提取工艺;根据最佳的提取工艺,进行三批工艺验证。 单因素考察的方法确定辅料的种类;通过Plackett-Burman筛选成型工艺中的关键工艺参数;采用Box-Behnken结合AHP-CRITIC法优选成型工艺;对优选成型工艺进行三批工艺的验证。 通过薄层色谱法对黄芩滑石颗粒进行定性鉴别;通过HPLC法测定颗粒中黄芩素、黄芩苷、汉黄芩素的含量;参照2020《中国药典》完成相关的颗粒剂检查项目。 通过网络药理学、分子对接预测黄芩滑石颗粒对于小鼠急性肺炎的作用成分与靶点,采用小鼠肺炎模型的方法对预测结果进行验证。通过TCMSP数据库筛选颗粒中的相关成分及作用靶点,使用Geen Card搜索急性肺炎“acute pneumonia”的相关靶点,取交集得黄芩滑石颗粒成分作用的靶点。采用STRING数据库构建PPI网络图,通过Cytoscape对其进行可视化,筛选黄芩滑石颗粒作用关键的靶点。通过Metascape进行KEGG富集分析和GO富集分析,确定黄芩滑石颗粒作用通路和涉及的相关生物过程。对筛选的成分、靶点采用Autodock软件进行分子对接的研究;通过动物试验,比较不同组别之间体重、脏器指数的变化,并采用酶联免疫吸附法(ELISA)的方法,测定小鼠血清中白细胞介素-6(IL-6)、白细胞介素-1β(IL-1β)、肿瘤坏死因子-α(TNF-α)的含量变化。 结果:提取工艺:确定最佳提取工艺为首次加11倍量水,浸泡1小时,煎煮时间1小时,第二次加8倍量水,煎煮1小时,合并药液;成型工艺为辅药比1:1,乙醇体积分数75%,乙醇用量38%。 质量标准部分:建立黄芩、大腹皮、茯苓皮、猪苓的薄层鉴别方法,供试品色谱与对照药材、对照品在相同位置显示同样颜色的斑点,无阴性干扰,完成薄层的系统适应性试验;对颗粒中黄芩素、汉黄芩素、黄芩苷的含量进行测定,建立方法学考察;完成黄芩滑石颗粒相关的颗粒剂检查项目。 网络药理学、分子对接部分:通过TCMSP数据库筛选活性成分61个、作用靶点234个,与Geen Card数据库检索“急性肺炎”靶点取交集得143个;使用STRING数据库构建PPI网络图得到核心靶点VEGFA、TNF、AKT1、IL6、TP53、IL1-β;使用Metascape数据库进行KEGG和GO富集分析得到黄芩滑石汤通过TNF通路、细胞凋亡通路、IL17等多通路,脂多糖、细菌、活性氧等多个方面产生对急性肺炎的作用;通过Auto Dock软件,将核心成分baicalein、baicalin、wogonin分别与核心靶点IL-6、TNF、IL-1β进行对接,对接结合能均小于0。 动物实验部分:记录小鼠体重和脏器指数的变化,与正常组比较,模型组小鼠脏器指数显著升高(P<0.05)。与模型组相比较,高剂量组和阳性药物组小鼠脏器指数显著降低(P<0.05)。小鼠血清IL-6含量,模型组与正常组显著性升高(P<0.05),低、中剂量组与模型组相比无显著性差异(P>0.05),高剂量组与模型组相比显著性降低(P<0.05),阳性药物组与模型组相比较极显著降低(P<0.01)。小鼠血清TNF-α含量,模型组相比正常组显著性升高(P<0.05),低剂量组与模型组相比较无显著性差异(P>0.05),中剂量组与模型组相比较显著性降低(P<0.05),高剂量组和阳性药物组与模型组相比较极显著性降低(P<0.01)。小鼠血清IL-1β含量,模型组与正常组相比极显著性升高(P<0.01),模型组与低剂量组相比较无显著差异(P>0.05),中、高剂量组与模型组相比显著性降低(P<0.05),阳性组与模型组相比极显著性降低。(P<0.01)。 结论:优选的提取工艺稳定可靠,与古方提取样品质量相近;成型工艺所得颗粒成型率高、颗粒性状均一、颗粒流动性好;质量标准部分建立黄芩、大腹皮、茯苓皮、猪苓的薄层鉴别方法,建立黄芩素、汉黄芩素、黄芩苷的含量测定方法可为黄芩滑石颗粒质量研究提供参考;通过网络药理学、分子对接及动物实验验证对黄芩滑石颗粒治疗急性肺炎进行初步研究,为黄芩滑石颗粒的药效研究和临床应用提供参考。	2024
硕士	经典名方猪苓汤的历史沿革与关键信息考证	陈敏	黑龙江中医药大学	黑龙江中医药大学	文献研究;;猪苓汤;;经典名方;;历史沿革;;本草考证	目的: 猪苓汤是被历代医家推崇的利水、清热、养阴之经典名方,收录于《古代经典名方目录(第一批)》。本研究通过系统梳理猪苓汤相关的古今文献,探寻历史演变轨迹,确定关键信息,以期为猪苓汤的临床应用及复方制剂的研发提供文献支持。 方法: 采用文献计量学方法,以“猪苓汤”为关键词检索古今文献,考证猪苓汤的组成、剂量、主治病证、药物基原与炮制等关键信息。 结果: 1.猪苓汤自《伤寒论》以来,历代医籍中多有应用,尤以明清时期为盛。 2.猪苓汤有利水清热养阴之功,主治水热互结之证。古代医家在秉承仲景医理的基础上,将其应用至消渴、噎膈、赤浊、泄泻、呃逆、痢疾等疾病,现代临床则多用于泌尿系统、消化系统、神经系统等疾病。在应用过程中极个别有轻微不良反应,大多未见不良反应。 3.药物用量大多遵循《伤寒论》原方剂量,折合现代用量为猪苓13.8g、茯苓13.8g、泽泻13.8g、滑石13.8g、阿胶13.8g。 4.煎服法为先取猪苓、泽泻、滑石、茯苓四味,加水800m L,煮至400m L,去渣,纳阿胶烊化,每次温服140m L,日3次。 5.各药物基原建议如下: (1)猪苓选用多孔菌科真菌猪苓的干燥菌核,以陕西为道地产区,炮制方法为去皮净制。 (2)茯苓选用多孔菌科真菌茯苓的干燥菌核,以云南为道地产地,炮制方法为去皮净制。 (3)泽泻选用福建、江西所产的东方泽泻或四川的泽泻的干燥块茎,以生品入药。 (4)滑石为硅酸盐类矿物滑石族滑石,主含含水硅酸镁,以山东、江西为道地产区,炮制方法为捣碎或水飞。 (5)阿胶以马科动物驴的干燥皮或鲜皮经煮制而成,以山东为道地产区,炮制方法为加蛤粉炒,具体遵循《中国药典》中“阿胶珠”的方式规范使用。 结论: 1.猪苓汤从古至今临床应用广泛,古籍中涉及消渴、噎膈、赤浊、泄泻、呃逆等疾病,现代文献则应用于泌尿系统、消化系统、神经系统等疾病,始终不离“水热互结”的核心病机,疗效显著,安全性高。 2.通过梳理猪苓汤相关的古今文献,厘清其历史沿革,明确其关键信息(见后附表),为后续的研发工作奠定详实的理论依据。	2024
硕士	基于数据挖掘分析刘朝霞教授治疗慢性乙型肝炎的用药规律	庞子鑫	黑龙江中医药大学	黑龙江中医药大学	慢性乙型肝炎;;经验总结;;治疗六法	目的: 基于数据挖掘技术,分析总结刘朝霞教授治疗慢性乙型肝炎的用药规律,以期为慢性乙型肝炎的临床治疗提供新的思路与方法。 方法: 收集黑龙江中医药大学附属第一医院刘朝霞教授门诊系统内,首诊于2018年11月-2023年11月,符合纳入排除标准的慢性乙型肝炎病例,共收集病例217例,采集患者的一般情况、症状、舌脉、证型及处方用药等数据,规范化处理后运用中医传承辅助平台V3.5及SPSS26.0软件对数据进行频数分析、关联分析、聚类分析及相关性分析。 结果: 1.基本信息统计:217例患者中,男性为136例,女性为81例,男女比例为1.68:1。年龄集中分布在30-60岁,占比88.02%。45.16%的患者有烟酒史。 2.临床症状与证型统计:临床症状分布具有集中性,其中胁痛、乏力、口苦、纳差出现频次较多。证型频率由高到低依次为肝郁脾虚证、肝胆湿热证、瘀血阻络证、肝肾阴虚证、脾肾阳虚证。 3.药物统计:利水渗湿类、补虚类、理气类药物使用频率较高。高频次使用药物为薏苡仁、厚朴、枳壳、柴胡、茯苓、党参、陈皮、黄芪。药物四气以寒、平性为主;五味以甘、辛味为主;归经以归脾、肺、肝经频率较高。 4.关联分析:得出核心药物8个,核心药对30组。其中“厚朴、枳壳”,“黄芪、党参”药对出现频率较高,药物关联规则显示薏苡仁为治疗CHB中的最核心药物。 5.聚类分析:对217首处方进行聚类分析得到3组核心方剂,分别为疏肝健脾方(柴胡,香附,薏苡仁,党参,黄芪)、行气利水方(枳壳,厚朴,茯苓,猪苓,泽泻,车前草)与软坚散结方(鳖甲,浙贝母,皂角刺,厚朴,枳壳)。 6.相关性分析:证型、药物相关性分析获得5种证型的相关性药物。症状、药物相关性分析获得32种症状的相关性药物。 结论: 1.刘朝霞教授治疗慢性乙型肝炎用药以性寒、平,味甘、辛,归脾、肺、肝经药物为主。核心药物为薏苡仁、厚朴、枳壳、柴胡、茯苓、党参、陈皮、黄芪。 2.刘朝霞教授认为乙型肝炎病毒性浊而势热,郁滞少阳,隐伏肝胆。慢性乙型肝炎的基本病机为正虚邪侵。治疗核心在于健脾祛湿、疏利少阳。形成了以健脾祛湿为中心,益气、利水、行气三位一体的组方思路。并提出治肝、调脾、理血、理气、滋阴、温阳治疗六法。	2024
硕士	基于数据挖掘分析刘朝霞教授治疗非酒精性脂肪性肝病的用药规律	贾煜	黑龙江中医药大学	黑龙江中医药大学	非酒精性脂肪性肝病;;用药规律;;数据挖掘	目的: 本研究通过对刘朝霞教授治疗非酒精性脂肪性肝病患者的门诊医案资料进行回顾性分析,总结刘朝霞教授治疗非酒精性脂肪性肝病的用药规律,以期为中医药治疗本病提供新的思路。 方法: 收集于2018年12月-2023年11月期间黑龙江中医药大学附属第一医院刘朝霞教授门诊就诊,符合纳入标准的非酒精性脂肪性肝病患者病历,采集患者的基本信息、临床症状、诊断、首诊处方等信息,将所收集的数据进行规范化处理,运用中医传承辅助平台V3.5及SPSS25.0软件对数据进行统计分析、关联规则分析、聚类分析及相关性分析。 结果: 1.基本信息:在纳入的214例非酒精性脂肪性肝病患者中,男性患者为123例,占57.48%,女性患者为91例,占42.52%;患病年龄主要集中在40～49岁,占30.84%;年龄≥50岁的患者共93例,其中女性患者为59例。 2.症状体征:症状共有69种,总频数1062次,频数≥10次的症状共有21种,分别是便溏、右胁肋疼痛、乏力、右胁肋胀满、口干、口苦、寐差、易怒、腹胀、形体肥胖、纳差、反酸、右胁肋刺痛、畏寒、恶心、自汗、胸闷、腰膝酸软、心慌、心烦、便秘。 3.证型:以湿浊内停证(35.04%)、肝郁脾虚证(34.58%)为主,其次是湿热蕴结证(10.75%)、痰瘀互结证(10.75%)、脾肾两虚证(8.88%)。 4.中药频次:研究共使用178味中药,使用总频次达3119次,使用频次>90的药物共9味,分别是薏苡仁、厚朴、枳壳、茯苓、陈皮、柴胡、猪苓、泽泻、车前草。 5.药物功效:药物按功效分类共17种,按频数前五种分别为:利水渗湿类(24.75%)、理气类(15.93%)、补虚类(12.16%)、活血化瘀类(9.36%)、化湿类(8.04%)。 6.药物四气、五味、归经:四气以寒(36.70%)、温(31.70%)、平(23.29%)为主;五味以甘(31.60%)、苦(29.75%)、辛(29.17%)为主;归经以脾经(20.82%)、肺经(18.86%)、胃经(14.08%)、肝经(12.19%)、肾经(9.86%)为主。 7.药物关联规则:将支持度个数设置为80,置信度设置为0.8,得出核心药物8味,核心药物组合19组,其中两味药物组16组,三味药物组3组;得出16组药物组合关联规则,其中两味药物关联组9组,三味药物组7组。 8.药物聚类分析:得出5组药物核心组合:组合1:枳壳、厚朴、薏苡仁、茯苓、金钱草、半夏;组合2:薏苡仁、厚朴、枳壳、茯苓、陈皮、党参;组合3:薏苡仁、茯苓、陈皮、车前草、厚朴、泽泻;组合4:薏苡仁、茯苓、党参、黄芪、山药、厚朴;组合5:枳壳、厚朴、猪苓、泽泻、茯苓、合欢花。 9.证型与药物相关性分析结果:湿浊内停证与薏苡仁、厚朴、茯苓、陈皮、猪苓、泽泻、车前草、木香、白茅根具有相关性;肝郁脾虚证与柴胡、香附、郁金、党参、黄芪具有相关性;湿热蕴结证与金钱草、黄连、瓜蒌具有相关性等。 10.症状与药物相关性分析结果:便溏与薏苡仁、茯苓、泽泻、车前草、山药具有相关性;右胁肋疼痛与柴胡、香附、姜黄、郁金具有相关性;右胁肋胀满与木香、厚朴、枳壳、陈皮具有相关性等。 结论: 1.刘朝霞教授认为本病的病因是饮食不节,劳逸失度,情志不遂,禀赋不足。病机以脾、肾亏虚为本,痰湿、气滞、瘀血、热邪互结于肝为标,故治疗思路以疏肝解郁、健脾益气为主,佐以祛痰利湿、清泄郁热,重视活血化瘀、补脾益肾。 2.刘朝霞教授治疗本病的药物四气以寒、温、平居多;五味以甘、苦、辛为主;归经以入脾、肺、胃、肝、肾为主;常用核心药物有薏苡仁、厚朴、枳壳、茯苓、陈皮、柴胡、猪苓、泽泻、车前草。	2024
硕士	基于数据挖掘分析孙伟正教授辨治髓毒劳的临床疗效和用药规律	鲍玉玺	黑龙江中医药大学	黑龙江中医药大学	髓毒劳;;用药规律;;学术思想;;临床疗效;;孙伟正	目的 借助中医传承辅助平台(V2.50)分析就诊于黑龙江中医药大学附属第一医院孙伟正教授门诊低危型髓毒劳患者的证候、处方,归纳总结孙伟正教授治疗低危型髓毒劳的用药经验和学术思想,并分析中医药辨证分型治疗低危型髓毒劳的临床疗效。 方法 收集2013年09月到2023年09月期间就诊于黑龙江中医药大学附属第一医院孙伟正教授门诊的低危型髓毒劳患者,按照纳排标准筛选、规范病例信息,将其录入中医传承辅助平台(V2.50)系统,总结孙伟正教授治疗低危型髓毒劳的用药规律,并分析中医辨证分型治疗低危型髓毒劳的疗效、中医症状积分变化情况。 结果 1.孙伟正教授将低危型髓毒劳分为气阴两虚、毒瘀阻滞和脾肾两虚、毒瘀阻滞两型,其两型的临床有效率分别为68.57%、72.41%,总有效率为70.31%。中医证候疗效有效率分别为74.29%、75.86%,总有效率为75%。各个证型的中医症状总积分治疗后较治疗前显著下降,差异具有统计学意义(P<0.001)。治疗后血常规中的红细胞计数、血红蛋白、白细胞计数、中性粒细胞计数有较大提升,差异具有统计学意义(P<0.05)。 2.通过对收集的临床资料进行整理分析,纳入符合标准的医案64例,方剂138首,得到使用超过20次的中药有29味,药物四气以寒性和温性为主,五味以甘味药居多,归经以归肾经的药物最多,分析后得到核心药物15味。 结论 1.寒性、温性、平性,甘味、苦味,肾经、肝经、脾经、心经为孙伟正教授治疗低危型髓毒劳用药的主要性味归经。 2.黄芪、西洋参、猪苓、甘草、白花蛇舌草、天冬、半枝莲、白蔹、肉苁蓉、山茱萸、茯苓、山药、龙眼肉、巴戟天、枸杞子为孙伟正教授治疗低危型髓毒劳的主要药物。 3.孙伟正教授辨证低危型髓毒劳思路以阴阳为纲,次定脏腑,治疗以补肾健脾为主,兼以解毒、化瘀、祛痰,将扶正与祛邪贯穿于疾病治疗全程,能有效改善患者临床症状和血常规情况。	2024
硕士	基于数据挖掘分析孙凤教授治疗紫癜风的用药经验和临床疗效	陈昕昊	黑龙江中医药大学	黑龙江中医药大学	紫癜风;;用药规律;;学术思想;;临床疗效;;孙凤	目的:借助中医传承辅助平台(V2.50)分析就诊于黑龙江中医药大学附属第一医院孙凤教授门诊紫癜风患者的证候、处方,归纳总结孙凤教授治疗紫癜风病的用药经验和学术思想,并分析中医药辨证分型治疗紫癜风的临床疗效。 方法:收集2014年09月到2024年03月期间就诊于黑龙江中医药大学附属第一医院孙凤教授门诊的紫癜风病患者,按照排纳标准筛选,规范病例信息,将其录入中医传承辅助平台(V2.50)系统,总结孙凤教授治疗紫癜风病的用药规律,并分析辨证分型治疗紫癜风病的疗效、中医症状积分变化情况、治疗前后尿常规的变化。 结果: 1.通过对收集的临床资料进行整理分析,纳入符合标准的医案2 0 1例,方剂387首,得到使用超过40次的中药有29味,药物四气以寒性为主,五味以甘味药居多,归经主要为归肝经的药物最多,分析后得到核心药物13味。 2.孙凤教授将紫癜风病分为阴虚火旺、气虚不摄、血热风盛、湿热蕴结四型,其四型的临床有效率分别为89.53%、88.10%、89.19%、91.68%,总有效率为89.55%。中医疗效有效率分别为91.86%、92.86%、91.89%、9 4.4 4%,总有效率为93.03%。各个证型的中医症状总积分治疗后较治疗前显著下降,尿常规中的潜血与蛋白的阳性情况在治疗后均有改善。 结论: 1.寒性、温性、平性,甘味、苦味、辛味,肝经、肺经、脾经为孙凤教授治疗紫癜风病用药的主要性味归经。 2.当归、鸡血藤、猪苓、太子参、香附、枳壳、黄芪、茜草、丹参、地肤子、甘草、白花蛇舌草、红花为孙凤教授治疗紫癜风病的主要药物。 3.孙凤教授以活血化瘀思想为指导,分型与分期相结合,治疗紫癜风疗效确切,可以有效的改善患者的临床症状和尿常规情况。	2024
硕士	基于网络药理学的猪苓甾体结构优化与制备	兰宇	西北农林科技大学	西北农林科技大学	猪苓甾体;;麦角甾酮;;慢性肾脏病;;网络药理学;;抗氧化活性	中药猪苓[Polyporus umbellatus（Pers.）Fries]是多孔菌科真菌猪苓的干燥菌核,归肾、膀胱经,在中医药领域拥有悠久的历史和广泛的应用。中医理论认为,肾为主水之脏,当肾功能虚衰,肾失蒸化时,就会导致水湿内停。猪苓以其独特的利水渗湿功效,成为治疗慢性肾脏病（Chronic Kidney Disease,CKD）等水湿相关疾病的重要药材,研究表明猪苓中的甾体类成分是其发挥利尿和肾脏保护作用的关键所在。 CKD是一种肾脏结构或功能异常持续超过三个月的疾病,2019年统计显示全球10%人口（约8.5亿人）患有CKD。CKD因其高发病率、低知晓率及较差的预后,构成了重大的公共健康问题,因此CKD创新药物的研发具有重要的社会意义和市场前景。现代研究发现氧化应激是引发CKD的重要因素,针对氧化应激的治疗策略成为CKD治疗的重要方向之一。在此背景下,对中药猪苓中的甾体类成分进行结构改造和深入研究,引入具有显著抗氧化能力的腙类结构单元,以期发现具有更强抗氧化应激能力、更好肾脏保护作用的猪苓甾体衍生物,进而增强其治疗CKD的效果,为CKD的治疗提供更多有效的药物选择。 本论文基于网络药理学和分子对接从中药猪苓甾体成分中筛选先导化合物,设计、合成新型猪苓甾体衍生物,并进行体外抗氧化活性研究,对其CKD治疗活性进行初步探索,以期得到CKD治疗候选药物,为基于猪苓甾体成分的中药创新药物开发提供参考。本论文主要研究结果如下: 1.通过网络药理学,利用Pharm Mapper、Mala Cards和Uniprot数据库获得32个已知猪苓甾体成分与CKD相关靶点,利用STRING平台与Cytoscape软件对“甾体成分—CKD”交集靶点进行分析,构建了“药物—疾病”靶点互作网络（PPI）,筛选出猪苓甾体成分治疗CKD的核心靶点:ALB、NOS3、REN、NR3C2、RBP4、TGFBR1。富集分析表明猪苓甾体成分可能通过调节炎症反应、氧化应激、免疫功能、细胞周期等多个方面发挥治疗CKD的作用。 2.采用Autodock Vina通过分子对接对32个猪苓甾体成分的核心靶点进行了验证与先导化合物筛选。经评估,麦角甾酮与核心靶点（ALB、NOS3、REN、NR3C2、RBP4和TGFBR1）具有最好的打分（Grid Score）。基于此,本文以麦角甾酮为对象对其进行修饰和优化,引入具有显著抗氧化、抗炎能力的腙类结构单元,共合成了24个麦角甾酮衍生物,并通过<sup>1</sup>H NMR、<sup>13</sup>C NMR确证其结构,均为未见报道的新化合物。 3.以VC为阳性对照,通过测定麦角甾酮衍生物对DPPH、ABTS<sup>+</sup>自由基的清除能力和总还原能力,考察了其体外抗氧化活性,具体而言: （1）LY2、5、6、9、11和18具有强的DPPH自由基清除能力(IC<sub>50</sub><1.00 mg/m L),其中LY11最强(IC<sub>50</sub>=0.10±0.02 mg/m L);初步构效关系（SARs）分析表明,引入脂肪烃取代苯环、溴原子取代苯环以及三氟乙基可以增强麦角甾酮衍生物的DPPH自由基清除能力。 （2）LY11（最强）、20、21和24具有强的ABTS<sup>+</sup>自由基清除能力(IC<sub>50</sub>=0.26±0.08～1.07±0.05 mg/m L),均优于阳性对照VC(IC<sub>50</sub>=1.15±0.08 mg/m L)。SARs分析表明,引入具有芳香性的杂环有利于提高其清除ABTS<sup>+</sup>自由基的能力。 （3）对于总还原能力测定实验而言,猪苓甾体衍生物都具有一定的还原能力,且呈现剂量依赖性,其中化合物LY11与LY19-22的还原能力最强,SARs表明引入具有芳香性的杂环能够增强麦角甾酮衍生物的总还原能力,从而发挥更好的抗氧化作用。 4.对抗氧化活性较好的5个衍生物LY5、11、18、21与靶蛋白ALB、NOS3和REN进行分子对接研究,发现优化后的化合物与靶标的结合更加紧密,在关键的作用位点上有更好的相互作用,初步推断结构优化较为合理,衍生物的活性和选择性有一定提高。 综上所述,本文对猪苓甾体治疗CKD的机制进行了初步探索,从已知32个猪苓甾体中优选麦角甾酮,合成了24个新型麦角甾酮衍生物,并证明了其抗氧化活性的巨大潜力。为猪苓甾体类化合物作为CKD药物的衍生合成提供了思路,并为后续研究这些高活性猪苓甾体衍生物的其他药理活性提供了候选化合物。	2024
硕士	基于数据挖掘《伤寒杂病论》中“利水药”应用规律研究	姜康	南方医科大学	南方医科大学	数据挖掘;;伤寒杂病论;;“利水药”;;配伍规律;;药证规律	目的: 本文运用数据挖掘的方法,对《伤寒杂病论》中“利水药”的药物配伍、药证关联等信息进行深入挖掘,初步归纳出张仲景对“利水药”的应用规律,以期对临床提供参考和帮助。 方法: (1)建立数据库:根据纳入和排除标准,将所选条文的药物、方证等录入Microsoft Excel 2019软件中,建立《伤寒杂病论》“利水药”经方数据库。 (2)频数分析:将所选条文的药物、症状及药物的四气、五味、归经录入Microsoft Excel 2019进行频数分析。 (3)关联分析:将所选条文的药物、方证录入中医传承辅助平台(V2.5),运用数据分析系统,根据不同“利水药”设置支持度、置信度进行药物配伍关联及药证关联分析。 (4)聚类分析:将含高频“利水药”(频数≥10)条文中的症状录入IBM SPSS Statistics 27.0进行系统聚类分析,聚类方法设置为组间联接,测量二元设置为杰卡德,挖掘出核心症状组合。 结果: (1)在《伤寒杂病论》中,“利水药”共有35种,根据纳入和排除标准,本文讨论33种:高频“利水药”(频率≥10)有茯苓、麻黄、白术;中频“利水药”(频率为5～10)有泽泻、黄芪、防己、滑石、甘遂、葶苈子;“利水药”以寒、平、温性,苦、甘、辛味,归肺、胃、肾、膀胱、脾经为主。含“利水药”条文有1 10条,以小便不利、发热、烦躁、水肿等为主要症状。 (2)对《伤寒杂病论》中“利水药”的配伍关联进行数据挖掘,结果如下:高置信度对药配伍关联(置信度≥30%,提升度>1,后同):茯苓→桂枝、麻黄→甘草等共32组;高置信度角药配伍关联:麻黄→生姜+甘草、白术→甘草+桂枝等共31组。 (3)对《伤寒杂病论》中“利水药”的药证关联进行数据挖掘,结果如下:高置信度二联药证关联:白术→周身疼痛、泽泻→口渴等共33组;高置信度三联药证关联:泽泻→呕吐+口渴、防己→脘痞+喘等共44组。 (4)在《伤寒杂病论》中,其中含高频“利水药”条文有71条,对其症状进行聚类分析,可聚为4类,结果如下:1)短气、水肿、四肢拘挛;2)小便不利、泄泻、口渴、呕吐、脘痞、气上冲、唾、眩晕、水逆;3)恶风寒、无汗出、发热、周身疼痛;4)烦躁、脉浮、喘、咳嗽。 结论: (1)在《伤寒杂病论》中,“利水药”四气多为寒、平、温性,五味多为苦、甘、辛味,归经多归肺、胃、肾、膀胱、脾经。“利水药”多与辛温药配伍,亦与甘寒药配伍,其配伍除相辅相成外,亦有相反相成,如寒热配伍、升降配伍等。 (2)在《伤寒杂病论》中,发汗固表利水,多见于麻黄、黄芪、防己的配伍;健脾利水,多见于茯苓、白术、泽泻、猪苓的配伍;峻下逐水多见于甘遂、葶苈子的配伍;滋阴清热利水,多见于滑石的配伍。 (3)在《伤寒杂病论》中,“利水药”常用于治疗风湿、风水相搏表实证,外邪内饮证,痰饮内停证。	2024
硕士	UPLC-Q-TOF定性定量检测云南省茯苓主要三萜酸类化合物方法建立及云南茯苓三萜酸类化合物含量分析	孙明月	大理大学	大理大学	超高效液相色谱-四级杆-飞行时间质谱法;;三萜酸类化合物;;茯苓;;成分检测	目的 1.建立超高效液相色谱-四级杆-飞行时间质谱（UPLC-Q-TOF）定性定量检测茯苓中13种三萜酸类化合物的方法。 2.对云南省茯苓中三萜酸类成分含量进行检测分析评价。 方法 1.建立13种茯苓三萜酸类化合物的谱库并对色谱条件和质谱条件进行选择优化。 2.对样品的提取方法进行单因素实验,通过极差法选定4因素4水平,用正交实验设计和数据分析,确定样品最佳提取条件。 3.使用建立的UPLC-Q-TOF方法对云南省4个州（市）茯苓中13种三萜酸化合物进行检测分析。 结果 1.建立了13种三萜酸类化合物的谱库和UPLC-Q-TOF检测方法,该方法可在6分钟内完成检测。13种茯苓三萜酸类化合物在线性范围内线性关系良好（r<sup>2</sup>>0.9900）,检出限在1.9～6.5μg/kg,定量限在6.2～21.5μg/kg。13种物质平均加标回收率（n=6）在80.35%～116.92%,RSD为1.88%～9.7%,此方法快速、稳定、可靠。 2.经正交试验法确定样品的最佳提取条件为:料液比1:30,振荡时间30 min,超声时间80 min,超声温度60℃,提取效率最高。 3.检测结果将采购的茯苓粉过80目筛,充分混匀。按本法进行处理测定,茯苓药材中13种三萜酸类化合物均被检测出,其中茯苓酸的含量最高,其次为松苓新酸,齿孔酸的含量最低。对采集的大理、普洱、楚雄、保山4个州（市）共64个样品进行分析,发现楚雄的茯苓三萜酸类化合物总含量更高。 结论 1.建立的UPLC-Q-TOF方法能够快速测定茯苓三萜酸类化合物,该方法快速、稳定、可靠。 2.通过正交试验得出茯苓中三萜酸类化合物最佳前处理条件为:甲醇浓度100%,超声时间80 min,料液比1:30,超声温度60℃,超声频率80 KHz,提取次数1次。 3.对云南省4个州（市）共64个样品进行13种茯苓三萜酸类化合物的含量检测,发现楚雄的总含量更高。	2024
硕士	宋本《伤寒论》与《脉经》相关条文对比及临床价值研究	田晓玉	浙江中医药大学	浙江中医药大学	《伤寒论》;;《脉经》;;《金匮玉函经》;;《千金翼方》	目的 通过对宋本《伤寒论》与《脉经》之间相关条文进行对比研究,进而厘清《脉经》和《伤寒论》之间的关系,以及对部分疑难条文的理解,从而为临床治疗提供可靠的理论依据。 方法 首先,借助浙江中医药大学图书馆以及知网等文献库,通过文献研究法,明确所用宋本《伤寒论》、《脉经》、《金匮玉函经》及《千金翼方》版本,并收集相关文献,对现今宋本《伤寒论》和《脉经》的研究方向进行了解;其次通过对比研究法,对各书之间条文进行详细对比,经过互相碰撞摩擦,得出新的理解;最后对临床医案进行整理分析,系统梳理宋本《伤寒论》和《脉经》之间的联系,完善仲景学术思想。 结果(1)通过文献研究,确定所需底本为中国中医科学院图书馆所藏本《仲景全书》、元·广勤堂刻本《脉经》、清康熙重刻何义门手抄宋本《金匮玉函经》及人民卫生出版社大德梅溪书院本影印本《千金翼方》;(2)梳理叔和与仲景的生活年代,发现二者应该互相认识,且关系匪浅;(3)对比《脉经》和宋本《伤寒论》,发现《脉-经》部分条文顺序更具有临床意义;(4)《脉经》、宋本《伤寒论》、《金匮玉函经》和《千金翼方》四本书之间的条文可互相补充理解,较宋本而言,余三本书之间条文更有统一性;(5)结合临床医案,更加印证了《脉经》本“伤寒”在研究《伤寒论》中的重要性。 结论(1)王叔和《脉经》一书对仲景学术思想的传承起着承上启下的重要作用,当今学者对《脉经》中的“伤寒”内容关注较少,应当进一步探索研究;(2)《金匮玉函经》《千金翼方》两书与宋本《伤寒论》联系紧密,再加上《脉经》一书,四书对比发现关系一斑,待进一步挖掘,以期为临床提供更加有力的帮助。	2024
